Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10
3,0.083,0.09,0.097,0.104,0.089,0.087,0.09,0.094,0.086,0.091
13,0.04,0.038,0.038,0.043,0.056,0.045,0.037,0.052,0.046,0.041
23,0.035,0.03,0.027,0.034,0.031,0.046,0.032,0.037,0.038,0.045
33,0.029,0.038,0.039,0.041,0.03,0.042,0.032,0.042,0.039,0.034
43,0.06,0.067,0.065,0.068,0.066,0.062,0.061,0.054,0.056,0.066
53,0.065,0.065,0.054,0.047,0.063,0.077,0.055,0.07,0.074,0.059
63,0.067,0.057,0.058,0.057,0.054,0.061,0.068,0.051,0.058,0.054
73,0.069,0.063,0.082,0.065,0.062,0.056,0.049,0.067,0.071,0.071
83,0.079,0.081,0.083,0.083,0.079,0.081,0.085,0.093,0.076,0.076
93,0.091,0.092,0.087,0.063,0.086,0.068,0.079,0.069,0.09,0.083
103,0.074,0.061,0.071,0.09,0.081,0.066,0.079,0.073,0.076,0.066
113,0.087,0.091,0.092,0.074,0.079,0.084,0.096,0.088,0.087,0.061
123,0.087,0.082,0.104,0.082,0.098,0.084,0.091,0.109,0.098,0.1
133,0.099,0.094,0.088,0.09,0.091,0.095,0.114,0.086,0.1,0.086
143,0.091,0.093,0.091,0.093,0.09,0.091,0.093,0.079,0.085,0.091
153,0.083,0.087,0.098,0.099,0.094,0.102,0.082,0.094,0.095,0.083
163,0.102,0.093,0.119,0.129,0.104,0.096,0.118,0.096,0.09,0.087
173,0.102,0.116,0.085,0.111,0.095,0.107,0.116,0.092,0.105,0.107
183,0.104,0.114,0.102,0.095,0.109,0.116,0.096,0.116,0.107,0.109
193,0.109,0.108,0.118,0.123,0.119,0.115,0.11,0.126,0.104,0.129
203,0.132,0.11,0.116,0.104,0.125,0.105,0.112,0.12,0.109,0.12
213,0.122,0.137,0.123,0.123,0.122,0.112,0.103,0.127,0.117,0.11
223,0.127,0.112,0.096,0.116,0.129,0.094,0.118,0.126,0.116,0.117
233,0.132,0.117,0.117,0.112,0.125,0.109,0.108,0.128,0.122,0.127
243,0.122,0.125,0.118,0.142,0.108,0.132,0.131,0.108,0.126,0.126
253,0.13,0.112,0.13,0.137,0.12,0.14,0.119,0.114,0.123,0.126
263,0.143,0.125,0.142,0.134,0.148,0.118,0.123,0.134,0.12,0.119
273,0.102,0.129,0.143,0.135,0.151,0.125,0.128,0.125,0.116,0.127
283,0.133,0.128,0.137,0.12,0.137,0.13,0.121,0.156,0.119,0.131
293,0.135,0.134,0.15,0.13,0.109,0.135,0.137,0.146,0.128,0.141
303,0.136,0.148,0.131,0.153,0.128,0.151,0.156,0.139,0.107,0.142
