Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10
375,0.044,0.041,0.056,0.057,0.033,0.057,0.044,0.06,0.05,0.049
380,0.064,0.046,0.064,0.063,0.055,0.059,0.06,0.058,0.048,0.059
385,0.063,0.075,0.069,0.067,0.064,0.069,0.081,0.074,0.077,0.082
390,0.081,0.079,0.068,0.079,0.078,0.081,0.082,0.083,0.081,0.082
395,0.08,0.099,0.084,0.113,0.087,0.092,0.086,0.104,0.088,0.086
400,0.106,0.109,0.109,0.104,0.108,0.119,0.11,0.092,0.122,0.1
405,0.13,0.098,0.101,0.101,0.105,0.127,0.117,0.099,0.114,0.104
410,0.113,0.098,0.13,0.116,0.11,0.127,0.117,0.126,0.104,0.12
415,0.121,0.11,0.123,0.119,0.109,0.126,0.133,0.118,0.126,0.132
420,0.112,0.123,0.123,0.128,0.112,0.119,0.124,0.135,0.144,0.101
425,0.116,0.137,0.121,0.116,0.121,0.128,0.121,0.115,0.113,0.12
430,0.117,0.122,0.13,0.12,0.123,0.105,0.131,0.128,0.114,0.108
435,0.108,0.147,0.118,0.095,0.114,0.116,0.117,0.126,0.112,0.11
440,0.098,0.103,0.121,0.115,0.129,0.111,0.128,0.09,0.118,0.127
445,0.112,0.107,0.116,0.134,0.121,0.101,0.102,0.125,0.12,0.123
450,0.128,0.119,0.119,0.121,0.106,0.124,0.129,0.108,0.12,0.123
455,0.124,0.115,0.114,0.125,0.137,0.133,0.122,0.107,0.121,0.115
460,0.119,0.12,0.126,0.13,0.119,0.133,0.117,0.101,0.107,0.134
465,0.134,0.114,0.112,0.118,0.115,0.103,0.13,0.116,0.122,0.101
470,0.115,0.12,0.113,0.122,0.123,0.101,0.115,0.12,0.108,0.124
475,0.127,0.103,0.106,0.114,0.12,0.122,0.122,0.091,0.11,0.118
480,0.108,0.113,0.11,0.119,0.111,0.113,0.118,0.107,0.127,0.109
485,0.122,0.127,0.106,0.105,0.125,0.125,0.109,0.101,0.113,0.11
490,0.108,0.102,0.127,0.099,0.112,0.12,0.107,0.109,0.136,0.115
495,0.099,0.113,0.111,0.135,0.113,0.12,0.104,0.116,0.105,0.114
500,0.123,0.106,0.104,0.126,0.103,0.102,0.109,0.118,0.102,0.118
505,0.119,0.121,0.108,0.104,0.121,0.116,0.102,0.113,0.109,0.104
510,0.109,0.12,0.094,0.113,0.099,0.118,0.094,0.121,0.124,0.131
515,0.117,0.137,0.109,0.122,0.105,0.114,0.1,0.119,0.123,0.108
520,0.124,0.104,0.105,0.094,0.115,0.097,0.11,0.1,0.121,0.115
525,0.102,0.102,0.101,0.127,0.108,0.106,0.116,0.122,0.106,0.117
530,0.12,0.102,0.101,0.108,0.105,0.131,0.115,0.111,0.121,0.113
535,0.093,0.1,0.105,0.117,0.102,0.124,0.105,0.114,0.105,0.1
540,0.111,0.118,0.093,0.111,0.093,0.106,0.103,0.118,0.097,0.117
545,0.115,0.124,0.119,0.093,0.104,0.101,0.117,0.1,0.122,0.112
550,0.119,0.106,0.117,0.105,0.101,0.101,0.108,0.102,0.111,0.122
555,0.106,0.11,0.122,0.106,0.113,0.09,0.116,0.099,0.099,0.12
560,0.093,0.101,0.083,0.12,0.115,0.113,0.114,0.097,0.09,0.127
565,0.125,0.097,0.106,0.113,0.093,0.11,0.1,0.099,0.116,0.094
570,0.098,0.104,0.098,0.113,0.091,0.084,0.108,0.122,0.102,0.111
575,0.107,0.091,0.085,0.097,0.103,0.097,0.113,0.1,0.108,0.104
580,0.092,0.112,0.111,0.11,0.107,0.1,0.119,0.109,0.107,0.093
585,0.099,0.124,0.094,0.086,0.117,0.099,0.104,0.095,0.109,0.098
590,0.085,0.09,0.102,0.113,0.103,0.119,0.11,0.115,0.12,0.108
595,0.094,0.089,0.098,0.112,0.101,0.098,0.107,0.099,0.103,0.094
600,0.103,0.108,0.107,0.102,0.127,0.094,0.099,0.083,0.102,0.107
605,0.103,0.114,0.114,0.113,0.112,0.089,0.095,0.108,0.083,0.087
610,0.106,0.095,0.121,0.123,0.101,0.123,0.102,0.095,0.093,0.112
615,0.103,0.111,0.101,0.105,0.101,0.109,0.117,0.096,0.101,0.112
620,0.083,0.088,0.099,0.098,0.104,0.1,0.111,0.102,0.105,0.104
625,0.1,0.11,0.073,0.102,0.085,0.107,0.108,0.108,0.098,0.103
630,0.11,0.116,0.106,0.108,0.084,0.105,0.096,0.102,0.107,0.105
635,0.1,0.096,0.116,0.092,0.082,0.103,0.102,0.096,0.112,0.086
640,0.113,0.093,0.119,0.102,0.106,0.112,0.101,0.101,0.105,0.094
645,0.098,0.095,0.117,0.108,0.096,0.1,0.098,0.103,0.101,0.082
650,0.104,0.1,0.095,0.112,0.109,0.094,0.089,0.097,0.121,0.099
655,0.108,0.104,0.093,0.102,0.104,0.107,0.106,0.104,0.097,0.093
660,0.093,0.104,0.101,0.095,0.105,0.116,0.087,0.097,0.093,0.097
665,0.099,0.104,0.106,0.095,0.108,0.094,0.109,0.109,0.113,0.095
670,0.1,0.084,0.101,0.095,0.103,0.078,0.093,0.096,0.103,0.105
675,0.094,0.082,0.084,0.098,0.097,0.09,0.081,0.083,0.104,0.081
680,0.09,0.091,0.086,0.097,0.1,0.111,0.114,0.102,0.087,0.092
685,0.094,0.1,0.082,0.105,0.102,0.096,0.094,0.095,0.095,0.083
690,0.097,0.101,0.108,0.091,0.089,0.094,0.089,0.098,0.106,0.097
695,0.1,0.095,0.105,0.088,0.092,0.102,0.095,0.083,0.089,0.103
700,0.096,0.083,0.107,0.098,0.098,0.071,0.085,0.1,0.097,0.099
705,0.104,0.093,0.099,0.116,0.103,0.107,0.096,0.114,0.094,0.094
710,0.088,0.076,0.099,0.11,0.085,0.093,0.092,0.09,0.103,0.105
715,0.09,0.093,0.093,0.098,0.086,0.075,0.092,0.1,0.077,0.092
720,0.1,0.098,0.1,0.11,0.092,0.103,0.075,0.096,0.087,0.098
725,0.106,0.101,0.089,0.104,0.091,0.092,0.088,0.108,0.093,0.087
730,0.098,0.093,0.092,0.107,0.088,0.087,0.081,0.087,0.095,0.092
735,0.096,0.08,0.098,0.089,0.091,0.091,0.104,0.086,0.093,0.1
740,0.075,0.103,0.097,0.089,0.087,0.074,0.077,0.1,0.099,0.088
745,0.1,0.103,0.093,0.094,0.074,0.101,0.085,0.095,0.099,0.101
750,0.092,0.09,0.101,0.099,0.099,0.099,0.081,0.109,0.111,0.097
755,0.093,0.101,0.098,0.106,0.103,0.082,0.093,0.094,0.088,0.087
760,0.081,0.094,0.087,0.076,0.102,0.092,0.072,0.09,0.09,0.11
765,0.095,0.084,0.078,0.099,0.101,0.109,0.098,0.097,0.096,0.079
770,0.112,0.101,0.1,0.11,0.09,0.117,0.097,0.102,0.106,0.107
775,0.109,0.1,0.101,0.109,0.113,0.113,0.104,0.1,0.11,0.105
780,0.1,0.101,0.103,0.129,0.114,0.123,0.109,0.095,0.112,0.104
785,0.1,0.107,0.133,0.111,0.119,0.106,0.114,0.122,0.132,0.126
790,0.121,0.133,0.127,0.135,0.112,0.127,0.137,0.121,0.143,0.123
795,0.137,0.131,0.128,0.14,0.121,0.146,0.139,0.112,0.112,0.123
800,0.134,0.126,0.141,0.14,0.127,0.129,0.134,0.117,0.12,0.137
805,0.136,0.143,0.13,0.133,0.128,0.145,0.148,0.145,0.149,0.145
810,0.14,0.157,0.138,0.135,0.145,0.128,0.142,0.15,0.147,0.138
815,0.146,0.143,0.141,0.13,0.136,0.179,0.149,0.158,0.143,0.125
820,0.138,0.15,0.147,0.153,0.152,0.118,0.141,0.154,0.162,0.131
825,0.131,0.131,0.142,0.131,0.152,0.153,0.12,0.149,0.146,0.138
830,0.132,0.15,0.136,0.153,0.139,0.144,0.141,0.155,0.138,0.161
835,0.145,0.147,0.147,0.142,0.155,0.151,0.149,0.127,0.143,0.148
840,0.146,0.138,0.118,0.136,0.133,0.135,0.131,0.138,0.139,0.131
845,0.141,0.115,0.143,0.133,0.132,0.147,0.148,0.125,0.147,0.157
850,0.144,0.145,0.15,0.134,0.15,0.144,0.139,0.151,0.129,0.132
855,0.121,0.14,0.119,0.132,0.134,0.129,0.137,0.133,0.134,0.134
860,0.146,0.135,0.154,0.152,0.122,0.138,0.155,0.142,0.151,0.118
865,0.141,0.125,0.147,0.153,0.128,0.148,0.149,0.154,0.144,0.135
870,0.147,0.154,0.135,0.125,0.156,0.132,0.127,0.126,0.124,0.129
875,0.126,0.126,0.137,0.142,0.127,0.151,0.139,0.125,0.13,0.133
880,0.134,0.136,0.135,0.154,0.149,0.148,0.143,0.144,0.133,0.143
885,0.136,0.137,0.133,0.157,0.135,0.123,0.129,0.135,0.133,0.147
890,0.141,0.131,0.128,0.125,0.136,0.144,0.142,0.145,0.13,0.114
895,0.129,0.146,0.143,0.142,0.137,0.135,0.131,0.127,0.13,0.15
900,0.134,0.148,0.158,0.127,0.115,0.127,0.108,0.127,0.151,0.145
905,0.156,0.124,0.137,0.152,0.134,0.141,0.14,0.134,0.136,0.141
910,0.127,0.139,0.135,0.157,0.155,0.131,0.148,0.13,0.133,0.164
915,0.132,0.134,0.152,0.128,0.163,0.144,0.137,0.122,0.141,0.128
920,0.138,0.123,0.112,0.134,0.141,0.144,0.129,0.12,0.15,0.131
925,0.12,0.121,0.129,0.134,0.148,0.134,0.14,0.146,0.113,0.131
930,0.132,0.136,0.13,0.143,0.14,0.128,0.133,0.141,0.135,0.152
935,0.12,0.135,0.14,0.13,0.138,0.136,0.141,0.124,0.123,0.131
940,0.121,0.133,0.125,0.129,0.142,0.15,0.151,0.147,0.137,0.126
945,0.132,0.134,0.125,0.14,0.131,0.156,0.125,0.133,0.119,0.123
