Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10
3505,0.254,0.232,0.264,0.236,0.233,0.227,0.232,0.244,0.214,0.23
3510,0.255,0.236,0.227,0.244,0.251,0.226,0.219,0.242,0.246,0.21
3515,0.223,0.241,0.224,0.22,0.227,0.246,0.21,0.243,0.23,0.26
3520,0.249,0.221,0.249,0.242,0.236,0.249,0.234,0.221,0.211,0.235
3525,0.213,0.254,0.235,0.237,0.228,0.25,0.247,0.28,0.223,0.256
3530,0.223,0.242,0.217,0.234,0.233,0.236,0.229,0.242,0.242,0.233
3535,0.201,0.259,0.248,0.227,0.225,0.235,0.248,0.228,0.255,0.237
3540,0.256,0.24,0.227,0.254,0.248,0.226,0.237,0.266,0.242,0.229
3545,0.219,0.225,0.227,0.232,0.232,0.208,0.239,0.258,0.227,0.244
3550,0.233,0.228,0.223,0.242,0.226,0.238,0.223,0.248,0.249,0.217
3555,0.253,0.236,0.262,0.235,0.229,0.222,0.234,0.261,0.258,0.218
3560,0.234,0.258,0.252,0.241,0.255,0.23,0.23,0.273,0.245,0.25
3565,0.245,0.238,0.218,0.247,0.239,0.262,0.266,0.244,0.247,0.23
3570,0.246,0.254,0.24,0.245,0.268,0.241,0.241,0.237,0.216,0.227
3575,0.232,0.219,0.264,0.228,0.25,0.242,0.265,0.248,0.256,0.222
3580,0.243,0.221,0.253,0.251,0.219,0.231,0.232,0.266,0.253,0.265
3585,0.239,0.25,0.233,0.279,0.247,0.222,0.216,0.267,0.251,0.239
3590,0.267,0.243,0.255,0.228,0.272,0.236,0.242,0.282,0.248,0.244
3595,0.25,0.255,0.248,0.238,0.243,0.247,0.244,0.249,0.274,0.242
3600,0.26,0.239,0.261,0.261,0.259,0.236,0.23,0.244,0.234,0.26
3605,0.26,0.235,0.235,0.236,0.234,0.23,0.249,0.255,0.244,0.232
3610,0.265,0.247,0.246,0.261,0.262,0.245,0.244,0.252,0.241,0.26
3615,0.267,0.265,0.26,0.256,0.25,0.254,0.257,0.232,0.256,0.223
3620,0.25,0.243,0.244,0.243,0.259,0.243,0.264,0.236,0.247,0.269
3625,0.234,0.251,0.246,0.257,0.247,0.245,0.239,0.264,0.236,0.243
3630,0.246,0.27,0.249,0.237,0.248,0.236,0.262,0.271,0.233,0.247
3635,0.262,0.238,0.255,0.253,0.274,0.271,0.264,0.229,0.257,0.27
3640,0.251,0.257,0.242,0.295,0.24,0.235,0.279,0.243,0.255,0.266
3645,0.252,0.277,0.217,0.242,0.26,0.247,0.267,0.238,0.233,0.262
3650,0.232,0.239,0.249,0.255,0.25,0.283,0.243,0.242,0.262,0.253
