Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59,mu_60,mu_61,mu_62,mu_63,mu_64,mu_65,mu_66,mu_67,mu_68,mu_69,mu_70,mu_71,mu_72,mu_73,mu_74,mu_75,mu_76,mu_77,mu_78,mu_79,mu_80,mu_81,mu_82,mu_83,mu_84,mu_85,mu_86,mu_87,mu_88,mu_89,mu_90,mu_91,mu_92,mu_93,mu_94,mu_95,mu_96,mu_97,mu_98,mu_99,mu_100
12,0.028,0.039,0.021,0.026,0.039,0.033,0.025,0.024,0.032,0.033,0.03,0.03,0.034,0.023,0.022,0.035,0.029,0.026,0.038,0.023,0.03,0.022,0.031,0.035,0.029,0.027,0.03,0.03,0.026,0.034,0.034,0.023,0.038,0.032,0.031,0.038,0.025,0.033,0.034,0.035,0.032,0.023,0.033,0.033,0.031,0.024,0.033,0.036,0.034,0.03,0.025,0.035,0.026,0.032,0.029,0.029,0.033,0.03,0.026,0.031,0.03,0.033,0.032,0.035,0.022,0.032,0.038,0.027,0.022,0.023,0.028,0.015,0.031,0.03,0.024,0.027,0.025,0.031,0.035,0.039,0.038,0.038,0.024,0.026,0.027,0.032,0.026,0.033,0.035,0.039,0.033,0.031,0.029,0.029,0.024,0.032,0.029,0.031,0.029,0.024
13,0.033,0.027,0.031,0.032,0.025,0.03,0.032,0.035,0.026,0.022,0.028,0.025,0.035,0.024,0.045,0.024,0.04,0.022,0.028,0.032,0.037,0.036,0.03,0.036,0.025,0.033,0.032,0.032,0.03,0.031,0.025,0.031,0.022,0.031,0.033,0.031,0.034,0.038,0.031,0.024,0.034,0.044,0.035,0.042,0.025,0.025,0.026,0.035,0.029,0.026,0.022,0.024,0.031,0.029,0.03,0.036,0.04,0.03,0.024,0.026,0.038,0.028,0.026,0.022,0.029,0.026,0.026,0.018,0.031,0.038,0.038,0.042,0.033,0.033,0.031,0.032,0.028,0.035,0.033,0.02,0.036,0.034,0.033,0.028,0.033,0.032,0.037,0.029,0.034,0.027,0.028,0.03,0.031,0.04,0.026,0.039,0.021,0.032,0.033,0.029
14,0.026,0.032,0.033,0.035,0.037,0.032,0.02,0.029,0.027,0.026,0.022,0.029,0.029,0.028,0.033,0.031,0.023,0.033,0.029,0.036,0.032,0.04,0.039,0.025,0.032,0.037,0.031,0.034,0.034,0.032,0.033,0.036,0.025,0.031,0.039,0.024,0.041,0.029,0.04,0.055,0.034,0.036,0.024,0.021,0.032,0.043,0.031,0.04,0.04,0.024,0.036,0.021,0.03,0.028,0.022,0.034,0.028,0.035,0.044,0.024,0.035,0.025,0.035,0.033,0.025,0.029,0.024,0.035,0.028,0.027,0.027,0.028,0.041,0.031,0.031,0.038,0.027,0.043,0.033,0.029,0.027,0.032,0.034,0.03,0.028,0.03,0.035,0.036,0.029,0.029,0.028,0.032,0.023,0.036,0.024,0.038,0.028,0.038,0.029,0.029
15,0.027,0.038,0.031,0.028,0.028,0.028,0.031,0.022,0.036,0.032,0.027,0.027,0.037,0.033,0.027,0.026,0.023,0.021,0.031,0.038,0.043,0.039,0.025,0.032,0.05,0.044,0.042,0.031,0.035,0.033,0.035,0.036,0.032,0.031,0.031,0.032,0.035,0.025,0.033,0.029,0.035,0.029,0.03,0.03,0.03,0.034,0.025,0.027,0.047,0.031,0.044,0.026,0.032,0.02,0.024,0.042,0.036,0.036,0.032,0.034,0.036,0.028,0.034,0.031,0.027,0.032,0.03,0.031,0.025,0.045,0.03,0.032,0.033,0.033,0.031,0.036,0.03,0.033,0.029,0.026,0.023,0.036,0.03,0.032,0.038,0.038,0.041,0.048,0.037,0.026,0.04,0.033,0.019,0.03,0.029,0.035,0.039,0.036,0.031,0.023
16,0.035,0.032,0.031,0.024,0.035,0.042,0.041,0.028,0.027,0.037,0.038,0.031,0.032,0.036,0.031,0.04,0.037,0.041,0.022,0.029,0.033,0.03,0.033,0.034,0.044,0.034,0.033,0.039,0.035,0.049,0.031,0.032,0.036,0.028,0.032,0.026,0.031,0.033,0.025,0.03,0.029,0.029,0.043,0.037,0.032,0.034,0.026,0.038,0.04,0.042,0.032,0.026,0.04,0.029,0.032,0.031,0.036,0.025,0.032,0.041,0.036,0.044,0.039,0.026,0.036,0.047,0.024,0.032,0.035,0.043,0.03,0.03,0.042,0.044,0.029,0.03,0.033,0.025,0.041,0.039,0.025,0.038,0.035,0.026,0.038,0.041,0.033,0.039,0.031,0.03,0.029,0.043,0.032,0.03,0.03,0.037,0.029,0.036,0.03,0.032
17,0.03,0.037,0.039,0.038,0.036,0.033,0.029,0.039,0.044,0.032,0.031,0.044,0.025,0.028,0.034,0.036,0.046,0.04,0.042,0.033,0.036,0.032,0.033,0.033,0.031,0.05,0.027,0.043,0.032,0.039,0.035,0.033,0.031,0.031,0.024,0.032,0.036,0.04,0.036,0.032,0.032,0.036,0.039,0.045,0.044,0.034,0.038,0.03,0.034,0.032,0.036,0.04,0.04,0.036,0.037,0.038,0.031,0.045,0.046,0.029,0.032,0.031,0.036,0.033,0.046,0.041,0.039,0.038,0.045,0.038,0.027,0.038,0.041,0.041,0.026,0.037,0.029,0.036,0.031,0.042,0.024,0.029,0.032,0.036,0.029,0.035,0.039,0.031,0.035,0.038,0.041,0.033,0.039,0.036,0.045,0.029,0.025,0.03,0.036,0.048
18,0.039,0.027,0.034,0.03,0.031,0.044,0.035,0.032,0.04,0.035,0.037,0.028,0.042,0.035,0.031,0.031,0.041,0.035,0.039,0.034,0.041,0.037,0.043,0.026,0.041,0.035,0.037,0.029,0.035,0.04,0.037,0.041,0.048,0.035,0.046,0.044,0.039,0.033,0.028,0.027,0.037,0.037,0.032,0.041,0.024,0.029,0.025,0.036,0.034,0.027,0.044,0.044,0.027,0.036,0.033,0.036,0.028,0.035,0.037,0.035,0.044,0.05,0.051,0.035,0.048,0.031,0.034,0.045,0.023,0.035,0.039,0.038,0.035,0.04,0.044,0.035,0.031,0.03,0.036,0.037,0.034,0.022,0.048,0.033,0.044,0.04,0.037,0.033,0.04,0.039,0.033,0.046,0.025,0.029,0.034,0.046,0.042,0.031,0.039,0.035
19,0.024,0.03,0.043,0.036,0.032,0.034,0.029,0.03,0.045,0.042,0.042,0.031,0.037,0.03,0.042,0.037,0.037,0.038,0.025,0.034,0.042,0.026,0.042,0.032,0.033,0.037,0.043,0.04,0.035,0.034,0.032,0.032,0.036,0.043,0.034,0.037,0.039,0.037,0.039,0.03,0.045,0.033,0.031,0.039,0.046,0.033,0.043,0.045,0.044,0.035,0.027,0.033,0.044,0.034,0.04,0.04,0.03,0.033,0.029,0.044,0.029,0.046,0.029,0.029,0.035,0.034,0.037,0.038,0.046,0.036,0.031,0.037,0.023,0.039,0.048,0.029,0.044,0.036,0.037,0.041,0.042,0.03,0.03,0.022,0.028,0.043,0.046,0.031,0.03,0.035,0.037,0.029,0.034,0.047,0.027,0.027,0.033,0.041,0.039,0.027
20,0.045,0.044,0.039,0.037,0.033,0.03,0.036,0.044,0.043,0.034,0.03,0.049,0.028,0.047,0.041,0.047,0.027,0.046,0.04,0.041,0.038,0.037,0.029,0.041,0.036,0.034,0.037,0.034,0.037,0.038,0.041,0.035,0.03,0.032,0.036,0.035,0.025,0.039,0.037,0.033,0.03,0.043,0.031,0.035,0.044,0.044,0.042,0.041,0.039,0.037,0.04,0.041,0.042,0.035,0.031,0.036,0.051,0.034,0.036,0.035,0.042,0.03,0.049,0.047,0.04,0.036,0.039,0.033,0.039,0.041,0.042,0.047,0.034,0.04,0.03,0.052,0.037,0.039,0.037,0.034,0.031,0.037,0.04,0.034,0.029,0.031,0.044,0.036,0.038,0.031,0.036,0.044,0.03,0.032,0.041,0.03,0.037,0.038,0.044,0.03
21,0.043,0.042,0.04,0.042,0.038,0.041,0.037,0.041,0.034,0.044,0.039,0.035,0.034,0.037,0.044,0.03,0.038,0.045,0.049,0.038,0.022,0.043,0.041,0.037,0.035,0.034,0.032,0.038,0.036,0.046,0.041,0.042,0.04,0.036,0.035,0.036,0.041,0.062,0.036,0.044,0.037,0.042,0.039,0.065,0.027,0.033,0.038,0.038,0.04,0.041,0.031,0.028,0.041,0.049,0.038,0.039,0.043,0.026,0.035,0.038,0.027,0.026,0.047,0.032,0.04,0.031,0.033,0.035,0.036,0.034,0.048,0.042,0.035,0.042,0.035,0.032,0.037,0.033,0.029,0.037,0.039,0.036,0.043,0.037,0.044,0.037,0.049,0.046,0.034,0.032,0.03,0.04,0.045,0.033,0.04,0.027,0.029,0.039,0.032,0.037
22,0.04,0.045,0.04,0.038,0.03,0.047,0.041,0.038,0.043,0.04,0.031,0.038,0.036,0.044,0.034,0.041,0.046,0.029,0.04,0.049,0.037,0.036,0.043,0.033,0.044,0.032,0.035,0.04,0.038,0.045,0.045,0.043,0.036,0.047,0.044,0.033,0.033,0.035,0.032,0.037,0.022,0.044,0.033,0.041,0.041,0.033,0.055,0.05,0.036,0.035,0.036,0.042,0.046,0.042,0.046,0.031,0.041,0.035,0.037,0.033,0.047,0.036,0.035,0.04,0.042,0.037,0.042,0.037,0.041,0.033,0.047,0.036,0.041,0.036,0.035,0.037,0.037,0.031,0.04,0.039,0.038,0.046,0.043,0.031,0.037,0.05,0.029,0.037,0.042,0.041,0.034,0.037,0.038,0.044,0.036,0.043,0.046,0.023,0.038,0.035
23,0.045,0.049,0.035,0.032,0.027,0.046,0.033,0.046,0.046,0.03,0.038,0.041,0.036,0.037,0.045,0.036,0.048,0.042,0.048,0.034,0.034,0.035,0.042,0.042,0.048,0.048,0.039,0.041,0.038,0.041,0.063,0.037,0.039,0.046,0.041,0.038,0.047,0.037,0.057,0.035,0.045,0.04,0.045,0.034,0.033,0.036,0.038,0.037,0.047,0.035,0.042,0.051,0.033,0.041,0.047,0.031,0.042,0.04,0.038,0.038,0.035,0.033,0.036,0.035,0.044,0.046,0.044,0.052,0.039,0.034,0.04,0.04,0.046,0.026,0.048,0.047,0.048,0.04,0.048,0.041,0.036,0.036,0.034,0.041,0.035,0.035,0.039,0.041,0.043,0.034,0.04,0.03,0.043,0.041,0.045,0.042,0.042,0.04,0.035,0.041
24,0.042,0.048,0.027,0.037,0.047,0.047,0.033,0.026,0.041,0.045,0.035,0.044,0.039,0.045,0.031,0.028,0.037,0.038,0.049,0.043,0.045,0.045,0.042,0.037,0.054,0.038,0.042,0.044,0.029,0.047,0.036,0.043,0.036,0.042,0.038,0.041,0.037,0.038,0.051,0.048,0.036,0.045,0.041,0.041,0.041,0.044,0.041,0.036,0.046,0.046,0.041,0.028,0.035,0.041,0.04,0.032,0.039,0.04,0.05,0.035,0.047,0.035,0.033,0.043,0.033,0.032,0.04,0.02,0.051,0.036,0.043,0.034,0.041,0.034,0.037,0.031,0.04,0.032,0.037,0.046,0.038,0.039,0.035,0.047,0.032,0.045,0.045,0.039,0.051,0.037,0.042,0.046,0.041,0.033,0.037,0.044,0.031,0.046,0.041,0.046
25,0.042,0.036,0.042,0.05,0.039,0.045,0.037,0.054,0.05,0.048,0.048,0.05,0.05,0.043,0.036,0.036,0.04,0.049,0.034,0.041,0.044,0.038,0.038,0.039,0.045,0.044,0.034,0.036,0.056,0.043,0.052,0.039,0.045,0.029,0.036,0.048,0.043,0.027,0.035,0.054,0.045,0.036,0.037,0.035,0.044,0.03,0.031,0.043,0.043,0.042,0.045,0.036,0.049,0.04,0.035,0.036,0.041,0.042,0.042,0.048,0.043,0.042,0.039,0.039,0.044,0.044,0.045,0.045,0.042,0.033,0.037,0.037,0.045,0.045,0.05,0.044,0.041,0.045,0.045,0.05,0.039,0.034,0.042,0.041,0.038,0.042,0.042,0.049,0.044,0.036,0.037,0.044,0.055,0.034,0.035,0.036,0.041,0.044,0.031,0.045
26,0.044,0.05,0.038,0.052,0.044,0.051,0.035,0.038,0.051,0.044,0.035,0.046,0.031,0.042,0.044,0.05,0.049,0.044,0.046,0.046,0.041,0.043,0.047,0.04,0.052,0.041,0.038,0.051,0.03,0.045,0.051,0.039,0.047,0.048,0.046,0.033,0.04,0.04,0.048,0.027,0.031,0.04,0.045,0.04,0.04,0.038,0.047,0.045,0.04,0.037,0.041,0.038,0.034,0.038,0.044,0.025,0.037,0.044,0.042,0.048,0.044,0.035,0.052,0.045,0.052,0.043,0.044,0.042,0.037,0.045,0.035,0.029,0.046,0.032,0.05,0.032,0.046,0.046,0.031,0.048,0.038,0.055,0.035,0.054,0.054,0.038,0.036,0.049,0.038,0.043,0.042,0.039,0.031,0.034,0.047,0.035,0.038,0.048,0.041,0.049
27,0.045,0.032,0.04,0.044,0.046,0.039,0.038,0.057,0.034,0.042,0.047,0.04,0.045,0.047,0.046,0.039,0.046,0.042,0.041,0.048,0.04,0.05,0.043,0.048,0.037,0.035,0.034,0.038,0.046,0.042,0.051,0.048,0.033,0.045,0.042,0.043,0.05,0.047,0.046,0.057,0.042,0.049,0.04,0.035,0.048,0.035,0.038,0.037,0.046,0.046,0.053,0.043,0.051,0.04,0.031,0.052,0.047,0.042,0.042,0.047,0.045,0.051,0.037,0.044,0.048,0.047,0.038,0.047,0.042,0.045,0.027,0.047,0.056,0.052,0.045,0.055,0.035,0.048,0.04,0.05,0.05,0.05,0.036,0.045,0.049,0.041,0.046,0.053,0.029,0.042,0.039,0.042,0.039,0.038,0.04,0.028,0.044,0.036,0.038,0.043
28,0.038,0.045,0.035,0.039,0.047,0.043,0.048,0.046,0.038,0.052,0.037,0.039,0.045,0.045,0.045,0.058,0.049,0.045,0.041,0.05,0.042,0.05,0.043,0.044,0.052,0.054,0.051,0.037,0.042,0.04,0.039,0.053,0.042,0.044,0.044,0.046,0.048,0.042,0.038,0.037,0.048,0.047,0.046,0.031,0.042,0.043,0.044,0.043,0.034,0.051,0.027,0.048,0.045,0.039,0.05,0.04,0.041,0.043,0.04,0.044,0.039,0.056,0.048,0.046,0.042,0.046,0.039,0.052,0.048,0.043,0.043,0.049,0.05,0.045,0.036,0.042,0.048,0.035,0.046,0.048,0.035,0.046,0.045,0.064,0.037,0.027,0.043,0.038,0.047,0.046,0.044,0.043,0.037,0.046,0.043,0.035,0.035,0.049,0.046,0.043
29,0.037,0.045,0.05,0.042,0.03,0.043,0.057,0.041,0.047,0.053,0.044,0.053,0.047,0.037,0.048,0.04,0.046,0.048,0.038,0.053,0.045,0.043,0.047,0.048,0.038,0.045,0.042,0.039,0.042,0.047,0.032,0.047,0.053,0.041,0.042,0.046,0.04,0.052,0.042,0.046,0.049,0.039,0.036,0.056,0.042,0.04,0.047,0.032,0.04,0.032,0.046,0.052,0.048,0.038,0.04,0.039,0.045,0.033,0.047,0.04,0.037,0.057,0.03,0.037,0.048,0.042,0.047,0.048,0.056,0.042,0.048,0.048,0.041,0.035,0.055,0.039,0.048,0.037,0.046,0.05,0.042,0.052,0.05,0.034,0.042,0.039,0.049,0.046,0.042,0.041,0.051,0.036,0.043,0.033,0.043,0.038,0.051,0.046,0.045,0.053
30,0.046,0.038,0.042,0.052,0.052,0.048,0.056,0.039,0.052,0.041,0.054,0.048,0.041,0.056,0.049,0.042,0.054,0.041,0.044,0.043,0.039,0.046,0.046,0.054,0.045,0.045,0.032,0.049,0.037,0.044,0.045,0.036,0.039,0.044,0.044,0.045,0.054,0.043,0.047,0.052,0.044,0.045,0.048,0.047,0.045,0.049,0.046,0.051,0.053,0.05,0.046,0.044,0.047,0.043,0.043,0.028,0.044,0.043,0.048,0.045,0.052,0.053,0.051,0.044,0.052,0.042,0.057,0.043,0.046,0.049,0.041,0.044,0.044,0.059,0.053,0.043,0.049,0.046,0.039,0.052,0.042,0.046,0.051,0.051,0.049,0.04,0.049,0.052,0.042,0.047,0.041,0.044,0.056,0.055,0.044,0.036,0.044,0.052,0.036,0.055
31,0.06,0.046,0.041,0.056,0.043,0.05,0.055,0.04,0.057,0.044,0.038,0.054,0.055,0.051,0.039,0.054,0.05,0.049,0.039,0.049,0.062,0.051,0.05,0.052,0.048,0.049,0.045,0.047,0.036,0.051,0.048,0.037,0.048,0.063,0.041,0.052,0.043,0.046,0.056,0.045,0.048,0.052,0.038,0.046,0.052,0.033,0.05,0.051,0.052,0.049,0.04,0.048,0.041,0.054,0.05,0.043,0.041,0.047,0.041,0.04,0.047,0.051,0.051,0.051,0.039,0.046,0.053,0.057,0.034,0.049,0.05,0.039,0.037,0.054,0.036,0.035,0.051,0.036,0.044,0.044,0.049,0.042,0.044,0.047,0.045,0.042,0.037,0.037,0.037,0.04,0.04,0.034,0.047,0.038,0.047,0.056,0.035,0.038,0.043,0.038
32,0.053,0.047,0.039,0.053,0.047,0.049,0.045,0.037,0.048,0.047,0.053,0.051,0.047,0.042,0.059,0.056,0.041,0.051,0.046,0.06,0.042,0.043,0.041,0.036,0.043,0.055,0.059,0.047,0.048,0.056,0.045,0.047,0.04,0.051,0.053,0.047,0.052,0.046,0.04,0.043,0.061,0.042,0.055,0.042,0.053,0.045,0.038,0.051,0.036,0.047,0.046,0.038,0.045,0.042,0.045,0.045,0.052,0.053,0.038,0.055,0.048,0.042,0.041,0.046,0.036,0.045,0.047,0.046,0.065,0.053,0.057,0.045,0.046,0.049,0.045,0.041,0.041,0.039,0.047,0.051,0.049,0.04,0.053,0.054,0.045,0.042,0.038,0.051,0.041,0.043,0.061,0.042,0.053,0.044,0.046,0.039,0.042,0.044,0.054,0.04
33,0.058,0.048,0.046,0.044,0.045,0.046,0.051,0.042,0.049,0.045,0.046,0.046,0.054,0.046,0.049,0.036,0.047,0.048,0.051,0.044,0.045,0.049,0.044,0.049,0.058,0.043,0.046,0.048,0.033,0.046,0.045,0.041,0.049,0.05,0.042,0.043,0.048,0.038,0.038,0.053,0.049,0.035,0.044,0.038,0.051,0.049,0.049,0.042,0.039,0.047,0.054,0.051,0.046,0.05,0.042,0.04,0.046,0.046,0.05,0.04,0.049,0.048,0.057,0.051,0.053,0.058,0.045,0.049,0.039,0.068,0.041,0.039,0.049,0.046,0.043,0.046,0.039,0.041,0.054,0.032,0.047,0.045,0.035,0.035,0.05,0.051,0.061,0.049,0.046,0.057,0.039,0.055,0.044,0.046,0.064,0.04,0.043,0.04,0.042,0.058
