Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59,mu_60,mu_61,mu_62,mu_63,mu_64,mu_65,mu_66,mu_67,mu_68,mu_69,mu_70,mu_71,mu_72,mu_73,mu_74,mu_75,mu_76,mu_77,mu_78,mu_79,mu_80,mu_81,mu_82,mu_83,mu_84,mu_85,mu_86,mu_87,mu_88,mu_89,mu_90,mu_91,mu_92,mu_93,mu_94,mu_95,mu_96,mu_97,mu_98,mu_99,mu_100
2,0.014,0.016,0.011,0.011,0.014,0.021,0.014,0.013,0.016,0.007,0.014,0.019,0.013,0.015,0.015,0.013,0.013,0.017,0.007,0.008,0.015,0.019,0.007,0.012,0.009,0.01,0.01,0.015,0.017,0.016,0.016,0.014,0.019,0.012,0.016,0.015,0.014,0.009,0.012,0.015,0.01,0.015,0.014,0.012,0.015,0.01,0.016,0.014,0.013,0.013,0.009,0.008,0.012,0.017,0.013,0.007,0.012,0.014,0.011,0.011,0.01,0.014,0.019,0.018,0.015,0.011,0.017,0.006,0.018,0.009,0.015,0.014,0.008,0.012,0.008,0.011,0.019,0.013,0.01,0.011,0.011,0.012,0.011,0.012,0.012,0.01,0.012,0.007,0.016,0.017,0.012,0.018,0.011,0.011,0.027,0.012,0.009,0.008,0.016,0.013
3,0.018,0.018,0.009,0.02,0.016,0.018,0.016,0.015,0.014,0.016,0.02,0.014,0.013,0.013,0.023,0.008,0.016,0.024,0.022,0.014,0.012,0.022,0.015,0.009,0.02,0.011,0.016,0.015,0.011,0.006,0.023,0.009,0.014,0.013,0.013,0.011,0.016,0.013,0.013,0.018,0.019,0.013,0.012,0.015,0.012,0.019,0.021,0.015,0.019,0.018,0.01,0.019,0.014,0.018,0.019,0.005,0.017,0.016,0.018,0.014,0.019,0.012,0.015,0.025,0.019,0.016,0.009,0.017,0.011,0.013,0.019,0.015,0.011,0.013,0.02,0.018,0.011,0.016,0.018,0.02,0.016,0.019,0.018,0.017,0.017,0.012,0.014,0.016,0.01,0.009,0.011,0.013,0.013,0.019,0.011,0.016,0.012,0.016,0.012,0.015
4,0.012,0.011,0.014,0.018,0.023,0.017,0.013,0.021,0.012,0.013,0.02,0.021,0.016,0.02,0.016,0.024,0.012,0.015,0.013,0.021,0.019,0.013,0.019,0.014,0.012,0.013,0.019,0.017,0.019,0.027,0.03,0.021,0.027,0.015,0.02,0.017,0.014,0.015,0.02,0.015,0.013,0.015,0.015,0.016,0.023,0.023,0.015,0.014,0.023,0.02,0.023,0.015,0.017,0.017,0.022,0.019,0.012,0.022,0.025,0.014,0.021,0.018,0.021,0.023,0.018,0.021,0.017,0.016,0.015,0.022,0.013,0.026,0.01,0.023,0.018,0.023,0.017,0.02,0.016,0.015,0.021,0.016,0.027,0.017,0.021,0.024,0.023,0.022,0.011,0.015,0.016,0.019,0.012,0.02,0.017,0.017,0.021,0.019,0.01,0.016
5,0.02,0.024,0.02,0.016,0.031,0.019,0.024,0.015,0.019,0.022,0.02,0.022,0.02,0.015,0.021,0.021,0.017,0.021,0.021,0.018,0.018,0.018,0.019,0.023,0.014,0.018,0.015,0.022,0.018,0.02,0.018,0.031,0.016,0.028,0.021,0.02,0.022,0.019,0.029,0.02,0.022,0.014,0.02,0.019,0.015,0.022,0.011,0.023,0.018,0.026,0.018,0.02,0.013,0.017,0.017,0.031,0.016,0.021,0.016,0.015,0.015,0.017,0.019,0.012,0.022,0.018,0.023,0.025,0.023,0.028,0.019,0.017,0.019,0.021,0.016,0.023,0.018,0.02,0.022,0.02,0.022,0.019,0.023,0.023,0.024,0.022,0.017,0.016,0.026,0.02,0.012,0.018,0.008,0.013,0.013,0.012,0.019,0.024,0.017,0.02
6,0.023,0.025,0.02,0.032,0.022,0.027,0.023,0.02,0.022,0.028,0.016,0.02,0.025,0.017,0.012,0.024,0.027,0.016,0.024,0.02,0.019,0.021,0.029,0.012,0.023,0.026,0.021,0.024,0.025,0.021,0.016,0.02,0.023,0.012,0.014,0.012,0.012,0.021,0.029,0.025,0.024,0.03,0.031,0.02,0.019,0.021,0.023,0.02,0.022,0.024,0.016,0.024,0.028,0.025,0.026,0.016,0.019,0.028,0.027,0.025,0.028,0.018,0.025,0.016,0.015,0.019,0.017,0.022,0.024,0.022,0.016,0.017,0.021,0.026,0.017,0.023,0.032,0.02,0.019,0.02,0.027,0.021,0.024,0.019,0.024,0.019,0.023,0.025,0.022,0.021,0.023,0.017,0.014,0.023,0.026,0.023,0.02,0.018,0.023,0.028
7,0.02,0.019,0.016,0.017,0.03,0.023,0.016,0.028,0.022,0.017,0.021,0.024,0.015,0.018,0.013,0.021,0.023,0.023,0.02,0.023,0.016,0.029,0.028,0.027,0.025,0.027,0.023,0.016,0.021,0.033,0.02,0.016,0.02,0.017,0.016,0.023,0.021,0.019,0.015,0.022,0.022,0.018,0.027,0.029,0.027,0.027,0.016,0.027,0.024,0.02,0.016,0.017,0.022,0.027,0.015,0.024,0.029,0.023,0.031,0.017,0.017,0.021,0.02,0.032,0.034,0.027,0.021,0.023,0.015,0.026,0.025,0.026,0.021,0.02,0.022,0.03,0.018,0.021,0.021,0.025,0.024,0.027,0.022,0.026,0.024,0.026,0.023,0.025,0.021,0.026,0.027,0.016,0.026,0.02,0.021,0.027,0.021,0.026,0.028,0.023
8,0.02,0.017,0.019,0.018,0.032,0.029,0.033,0.024,0.022,0.027,0.024,0.024,0.016,0.036,0.033,0.018,0.023,0.026,0.02,0.014,0.02,0.028,0.029,0.02,0.027,0.031,0.025,0.018,0.027,0.028,0.021,0.03,0.026,0.022,0.034,0.027,0.029,0.033,0.029,0.021,0.018,0.035,0.026,0.021,0.018,0.026,0.024,0.024,0.019,0.022,0.024,0.026,0.022,0.017,0.029,0.023,0.027,0.02,0.032,0.03,0.033,0.028,0.032,0.02,0.024,0.027,0.02,0.043,0.022,0.019,0.024,0.021,0.037,0.022,0.023,0.028,0.019,0.024,0.018,0.019,0.016,0.025,0.018,0.03,0.026,0.035,0.027,0.023,0.019,0.026,0.023,0.023,0.024,0.022,0.03,0.027,0.019,0.019,0.025,0.027
9,0.026,0.027,0.025,0.023,0.028,0.029,0.031,0.019,0.027,0.025,0.031,0.027,0.028,0.034,0.028,0.02,0.027,0.025,0.019,0.022,0.033,0.021,0.03,0.026,0.029,0.019,0.023,0.028,0.027,0.018,0.022,0.026,0.029,0.027,0.038,0.028,0.025,0.032,0.026,0.024,0.027,0.022,0.02,0.03,0.018,0.031,0.022,0.016,0.028,0.028,0.024,0.027,0.032,0.031,0.024,0.032,0.023,0.027,0.021,0.036,0.023,0.018,0.027,0.017,0.032,0.025,0.027,0.028,0.034,0.023,0.024,0.025,0.026,0.023,0.025,0.031,0.021,0.024,0.032,0.023,0.029,0.034,0.028,0.029,0.025,0.028,0.023,0.034,0.022,0.025,0.025,0.025,0.025,0.024,0.03,0.037,0.021,0.026,0.033,0.025
10,0.029,0.029,0.024,0.033,0.029,0.018,0.019,0.022,0.028,0.032,0.028,0.031,0.023,0.023,0.031,0.025,0.02,0.03,0.019,0.02,0.028,0.033,0.022,0.026,0.023,0.024,0.023,0.03,0.029,0.034,0.031,0.027,0.033,0.022,0.025,0.02,0.03,0.03,0.04,0.019,0.027,0.025,0.034,0.03,0.022,0.018,0.028,0.029,0.024,0.034,0.027,0.029,0.017,0.027,0.026,0.018,0.03,0.02,0.023,0.02,0.036,0.027,0.023,0.019,0.035,0.019,0.026,0.02,0.034,0.028,0.026,0.023,0.026,0.024,0.024,0.021,0.033,0.032,0.02,0.026,0.027,0.022,0.023,0.019,0.028,0.026,0.031,0.027,0.034,0.028,0.034,0.027,0.022,0.033,0.026,0.022,0.024,0.023,0.027,0.038
11,0.024,0.027,0.03,0.035,0.029,0.033,0.028,0.037,0.027,0.02,0.028,0.021,0.03,0.031,0.029,0.019,0.027,0.032,0.023,0.028,0.021,0.023,0.023,0.023,0.032,0.036,0.018,0.027,0.027,0.035,0.03,0.024,0.027,0.033,0.027,0.032,0.023,0.031,0.037,0.029,0.023,0.038,0.033,0.032,0.023,0.032,0.027,0.033,0.034,0.028,0.031,0.025,0.026,0.025,0.023,0.031,0.026,0.033,0.029,0.026,0.026,0.029,0.028,0.028,0.028,0.021,0.023,0.021,0.028,0.033,0.034,0.027,0.03,0.019,0.028,0.03,0.034,0.029,0.037,0.025,0.026,0.026,0.032,0.039,0.034,0.033,0.026,0.031,0.029,0.029,0.027,0.028,0.026,0.035,0.03,0.033,0.029,0.02,0.026,0.032
