Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10
3,0.125,0.113,0.124,0.165,0.132,0.125,0.154,0.132,0.164,0.13
13,0.1,0.101,0.097,0.088,0.091,0.089,0.092,0.082,0.089,0.078
23,0.063,0.053,0.058,0.07,0.06,0.061,0.064,0.076,0.056,0.052
33,0.052,0.054,0.059,0.05,0.059,0.053,0.055,0.046,0.056,0.051
43,0.042,0.054,0.045,0.042,0.04,0.044,0.047,0.044,0.045,0.047
53,0.041,0.044,0.049,0.039,0.034,0.049,0.045,0.044,0.042,0.043
63,0.04,0.034,0.038,0.052,0.051,0.04,0.041,0.052,0.038,0.047
73,0.085,0.057,0.058,0.067,0.053,0.061,0.068,0.071,0.067,0.086
83,0.099,0.084,0.097,0.097,0.081,0.094,0.091,0.088,0.094,0.106
93,0.093,0.088,0.096,0.081,0.092,0.092,0.081,0.094,0.071,0.099
103,0.084,0.083,0.095,0.084,0.084,0.096,0.096,0.083,0.108,0.091
113,0.078,0.097,0.096,0.086,0.081,0.085,0.101,0.075,0.096,0.076
123,0.094,0.086,0.082,0.061,0.082,0.078,0.074,0.095,0.088,0.076
133,0.083,0.076,0.077,0.084,0.088,0.087,0.076,0.086,0.068,0.09
143,0.094,0.094,0.089,0.095,0.091,0.097,0.095,0.093,0.085,0.088
153,0.104,0.116,0.111,0.097,0.09,0.1,0.132,0.102,0.11,0.125
163,0.13,0.121,0.124,0.131,0.116,0.123,0.116,0.113,0.105,0.112
173,0.1,0.123,0.109,0.107,0.133,0.109,0.111,0.104,0.109,0.123
183,0.107,0.106,0.118,0.113,0.118,0.112,0.106,0.118,0.125,0.117
193,0.084,0.095,0.103,0.104,0.116,0.096,0.098,0.089,0.109,0.1
203,0.108,0.112,0.103,0.112,0.1,0.098,0.112,0.103,0.104,0.104
213,0.118,0.123,0.106,0.098,0.118,0.128,0.119,0.111,0.122,0.116
223,0.121,0.115,0.124,0.132,0.126,0.106,0.113,0.131,0.119,0.133
233,0.134,0.116,0.144,0.14,0.136,0.139,0.149,0.126,0.119,0.121
243,0.153,0.15,0.132,0.135,0.129,0.133,0.121,0.134,0.122,0.141
253,0.135,0.112,0.114,0.127,0.131,0.145,0.134,0.132,0.135,0.128
263,0.137,0.127,0.124,0.112,0.114,0.131,0.12,0.128,0.124,0.146
273,0.138,0.126,0.1,0.128,0.119,0.134,0.115,0.123,0.129,0.105
283,0.139,0.117,0.131,0.131,0.138,0.13,0.111,0.137,0.113,0.135
293,0.151,0.124,0.133,0.128,0.129,0.141,0.125,0.127,0.132,0.141
303,0.161,0.137,0.144,0.139,0.139,0.137,0.153,0.151,0.123,0.139
