Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10
9000,0.006,0.01,0.012,0.008,0.009,0.008,0.007,0.01,0.009,0.01
9100,0.007,0.004,0.012,0.005,0.007,0.007,0.01,0.011,0.005,0.002
9200,0.006,0.004,0.008,0.007,0.009,0.008,0.01,0.013,0.009,0.011
9300,0.008,0.007,0.012,0.009,0.013,0.009,0.003,0.004,0.006,0.015
9400,0.006,0.009,0.004,0.008,0.011,0.009,0.011,0.012,0.012,0.008
9500,0.011,0.008,0.008,0.006,0.009,0.013,0.005,0.01,0.009,0.013
9600,0.015,0.006,0.007,0.008,0.009,0.006,0.005,0.009,0.006,0.014
9700,0.005,0.007,0.01,0.012,0.009,0.006,0.009,0.015,0.005,0.007
9800,0.007,0.007,0.013,0.007,0.01,0.011,0.004,0.01,0.01,0.008
9900,0.007,0.012,0.01,0.009,0.008,0.008,0.004,0.01,0.009,0.004
10000,0.015,0.011,0.01,0.005,0.011,0.014,0.007,0.007,0.011,0.012
